,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,sodium_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-estimate_100g,fiber_100g,proteins_100g,fruits-vegetables-nuts-filling-estimate
fr:compotes-pommes-vanille,286.0,0.1,0.05,13.835,0.0,0.0,94.0,93.3,1.8,0.3,93.3
fr:cremes-caramel,587.0,4.0,2.15,19.75,0.1412,0.05559055118110235,,,0.0,4.5,
fr:aide-alimentaire,1468.0,1.5,0.75,3.5,0.055,0.021653543307086624,,,3.0,11.5,
fr:chocolats-noirs-dessert,2250.5,33.0,19.0,46.35,0.02,0.0078740157480315,,,8.4,6.6,
en:light-lemon-soft-drinks,8.9,0.0,0.0,0.4,0.01,0.00393700787401575,,,0.15,0.0,
en:barley,1402.0,1.815,0.5,1.2,0.0254,0.01,,,8.8,10.0,
fr:plantaardige-levensmiddelen-en-dranken,1579.0,2.1,0.4,2.9000000000000004,0.305,0.12007874015748049,,,3.9,8.75,
en:mexican-salads,448.0,3.5,0.4,2.8,1.02,0.401574803149606,50.35,43.2,3.5,9.1,43.2
fr:biscottes-pauvres-en-sel,1680.0,5.1,0.6,7.0,0.005,0.001968503937007875,,,4.15,12.0,
en:organic-red-wines,0.0,,,,,,,,,,
en:sausages-from-spain,1887.0,37.0,14.0,2.0,3.98,1.56692913385827,0.0,0.0,1.8,25.55,0.0
fr:sauces-rouille,1795.0,44.0,3.6,1.3,1.6,0.62992125984252,,,0.6,2.55,
fr:croissants-surgeles,1569.0,22.0,14.5,4.949999999999999,1.0,0.393700787401575,,,1.6,7.55,
fr:croquets,1859.5,17.4,2.2,28.0,0.75,0.295275590551181,,15.0,5.7,10.8,15.0
es:matieres-grasses,3655.5,100.0,14.0,0.0,0.0,0.0,,,0.0,0.0,
fr:crepes-au-fromage,717.5,7.1,2.65,3.2,0.86,0.33858267716535395,,,0.9,7.0,
en:olive-oils-from-italy,3448.0,91.6,13.3,0.0,0.0,0.0,,,,0.0,
fr:pates-seches-semi-completes,1490.0,1.8,0.36,3.2,0.0035,0.00137795275590551,,,4.75,11.1,
en:cream-pies,1635.5,16.0,2.5,25.5,0.5,0.19685039370078697,,,3.0,3.3,
fr:chablis,0.0,,,,,,,,,,
fr:nectars-de-cassis,226.0,0.03,0.01,12.4,0.01,0.00393700787401575,34.0,34.0,0.2,0.5,34.0
en:passion-fruit-nectars,226.0,0.05,0.0,12.0,0.005,0.00196850393700787,27.0,25.0,0.5,0.2,25.0
fr:nouilles-orientales,389.5,3.6,2.2,0.7,1.15,0.452755905511811,,,1.2,2.05,
en:sushi-rice,1458.5,0.6499999999999999,0.1,0.2,0.01,0.00393700787401575,,,1.0,6.75,
de:biermischgetrank,0.0,0.0,0.0,4.4,0.01,0.00393700787401575,,,0.2,0.1,
en:mixed-drinks,0.0,0.005,0.005,2.6,0.005,0.001968503937007875,,,0.2,0.05,
ro:bauturi-racoritoare-carbogazoase,167.0,0.0,0.0,9.85,0.0,0.0,,,0.0,0.0,
en:bitter-chocolate,2259.5,36.8,19.85,26.0,0.09442857142839,0.0371785714285,,,9.4,8.8,
en:italian-beers,0.0,,,,,,,,,,
en:protein-shakes,282.0,0.3,0.1,8.0,0.16,0.062992125984252,,,1.27,9.68,
en:white-almond-purees,2791.0,58.5,5.0,4.8,0.01,0.00393700787401575,,100.0,7.35,23.0,100.0
fr:snacks-dulces,2201.0,29.4,8.82,31.6,0.132,0.0519685039370079,,53.0,6.09,7.4,53.0
en:chips-et-frites,2173.0,30.4,3.2,2.0,1.72,0.679,,,3.9,6.0,
fr:beaujolais-nouveau,0.0,,,,,,,,,,
en:aliments-a-base-de-fruits-et-de-legumes,665.0,0.5,0.1,4.0,0.0454,0.0179,75.0,63.0,3.0,2.0,63.0
en:macadamia-nuts,3085.0,73.3,11.9,4.8,0.73,0.28740157480315004,,99.0,5.135,8.3,99.0
en:wheat-flakes,1480.0,1.85,0.4,3.0,0.03024,0.0119055118110236,,,9.68,12.5,
en:oatmeal-cookies,1760.0,15.0,8.86,30.25,0.8160000000000001,0.32148031496063,,,4.25,5.7,
fr:craquelins,1619.0,6.1,1.61,2.0,0.3175,0.125,,,4.76,7.0,
en:frozen-baked-potatoes,598.0,6.0,0.833,0.8,0.5,0.19685039370078697,,,2.8,2.6,
en:vegetable-samosas,803.0,7.5,1.0,2.7,0.99,0.389763779527559,,,3.5,4.0,
en:sauces-tomate,380.0,1.3940000000000001,0.2,6.0,0.9550000000000001,0.375984251968504,,67.0,0.6499999999999999,1.25,67.0
fr:bieres-americaines,0.0,,,,,,,,,,
fr:cacahuetes-non-decortiquees,2590.0,50.0,7.25,4.45,0.022699999999999998,0.008937007874015749,100.0,100.0,8.0,27.75,100.0
en:liver-sausages,1883.0,36.9,13.94,1.5,2.57,1.0118110236220499,,,0.0,17.4,
fr:fromages-bio,1512.0,28.0,18.5,0.5,1.016,0.4,,,0.0,27.5,
es:brotes-de-judia-mungo,134.0,0.3,0.13,2.15,0.4,0.15748031496063,,,1.5,2.29,
es:sardinas,714.0,6.515000000000001,1.91,0.0,0.894,0.35200000000000004,,,0.0,19.63,
fr:chocolats-noirs-au-citron,2264.0,37.4,22.0,36.8,0.02,0.0078740157480315,,,9.7,7.0,
en:mantecados-and-polvorones,2105.8,23.9,5.0,25.0,0.051750000000000004,0.0203740157480315,,,2.6,6.3,
en:mantecados-and-polvorones-with-vegetal-fat,2105.8,23.9,5.0,25.0,0.051750000000000004,0.0203740157480315,,,2.6,6.3,
fr:pates-completes,1481.0,2.1,0.5,3.1,0.01,0.00393700787401575,,,7.8,12.5,
en:coriander-leaves,0.0,0.26,0.005,0.435,0.0,0.0,,,,1.065,
en:cream-of-carrot-soups,161.0,1.9,0.82,1.9,0.7,0.275590551181102,38.0,49.0,1.2,0.6,43.5
ro:cascaval,1359.5,25.25,17.3,0.5,1.95,0.7677165354330711,,,0.0,23.5,
en:skipjack-tuna,477.0,1.5,0.75,0.5,1.0,0.393700787401575,,,0.4,23.6,
de:aperitif,2017.0,32.0,3.3,1.56,1.7,0.669291338582677,,,3.9,5.9,
fr:tiefkuhlprodukte,1100.0,14.0,9.0,25.0,0.23,0.0905511811023622,,75.5,1.2,4.0,75.5
fr:petits-pois,263.0,0.5,0.1,3.4,0.58,0.22834645669291298,40.0,80.0,4.2,3.4,80.0
de:barres,2037.5,23.35,8.55,41.95,0.261,0.10275590551181085,,34.8,5.75,8.6,34.8
en:handmade-breadsticks,1803.0,11.0,1.7,2.1,1.8,0.708661417322835,,,4.15,12.0,
nl:broodbeleg,1803.5,16.45,9.4,55.0,0.045,0.01771653543307085,,,5.0,5.1,
en:lemon-flavored-iced-teas,84.0,0.0,0.0,4.6,0.0299999999999999,0.0118110236220472,,0.5,0.0,0.0,0.5
fr:terrines-de-saint-jacques,758.0,14.6,2.9,0.9500000000000001,1.0,0.393700787401575,,,2.0,8.8,
fr:entremets,1504.0,1.525,1.0,15.850000000000001,0.15,0.0590551181102362,,,3.0,3.25,
fr:tortellini-a-base-de-viande,1084.0,4.87,1.75,1.6,1.06,0.417322834645669,,,2.6,10.6,
es:produits-a-tartiner,1423.0,11.5,1.705,45.75,0.030000000000000002,0.011811023622047227,45.0,45.0,0.0,0.8,45.0
en:saffron-threads,0.0,6.0,0.0,0.0,0.15,0.0590551181102362,,,,11.4,
fr:gelees-de-pommes,1042.0,0.1,0.0,60.0,0.00545,0.0021456692913385802,70.0,55.0,1.1,0.2,58.0
fr:mendiants,2295.0,37.0,18.0,42.0,0.13,0.0511811023622047,,,4.8,8.2,
en:ostrich,494.0,1.8,0.6499999999999999,0.3,0.98,0.3858267716535435,,,1.0,24.9,
en:cauliflower-gratins,370.0,5.6,3.0,2.4,0.66,0.25984251968503896,55.0,55.0,1.6,3.8,55.0
fr:feculent,1472.0,1.9,0.49,2.085,0.01,0.00393700787401575,0.0,0.0,4.0,11.5,0.0
en:tabbouleh-with-fresh-vegetables,699.0,6.0,0.7,3.6,1.0,0.393700787401575,74.0,48.0,1.85,3.7,50.0
en:green-seedless-grapes,0.0,0.1,0.0,8.05,,,,,,0.6,
fr:capsicum-frutescens,0.0,1.0,0.5,0.0,0.005,0.001968503937007875,,,20.4,1.0,
fr:jambons-de-vendee,900.0,12.0,4.4,0.5,4.1,1.6141732283464598,,,0.0,25.0,
nl:aliments-et-boissons-a-base-de-vegetaux,290.0,0.6,0.1,4.55,0.0034999999999999996,0.00137795275590551,,55.0,1.5,0.5,55.0
en:coconut-ice-cream-tubs,1046.0,15.0,11.0,22.0,0.14,0.0551181102362205,0.0,0.0,1.35,3.1,0.0
fr:bonbons-a-la-menthe,1611.0,0.0,0.0,69.0,0.015,0.005905511811023625,,,0.0,0.0,
en:beef-merguez,1232.0,25.0,9.6,1.3,1.8,0.708661417322835,,,,14.0,
en:amber-rum,0.0,0.0,0.0,0.01,0.0,0.0,,,7.5,1.0,
fr:haricots-beurre,104.0,0.2,0.0,0.75,0.6325000000000001,0.249015748031496,,,2.7,1.6,
fr:haricots-verts-plats,88.0,0.2,0.0,1.1,0.7,0.275590551181102,,,2.0,1.0,
fr:coq-au-vin,454.0,4.6,1.3,1.1,0.88,0.346456692913386,34.9,23.5,1.0,10.0,34.9
fr:fromages-alleges-en-matiere-grasse,781.0,9.0,6.4,0.9,1.4,0.551181102362205,,,0.0,21.0,
en:roquefort-sauces,623.0,13.3,7.9,1.8,1.2,0.47244094488189003,,,0.5,3.3,
fr:foies-gras-cuits,2106.5,53.0,23.0,1.6,1.2,0.47244094488189003,,,0.0,7.3,
fr:foies-gras-de-canard-mi-cuits,2230.0,55.2,23.6,1.6,1.03,0.405511811023622,,,0.1,6.4,
fr:pancetta,1449.0,28.0,12.0,0.3,3.8,1.49606299212598,,,0.0,20.0,
fr:cheveux-d-ange,1502.0,2.0,0.35,3.7,0.013000000000000001,0.005118110236220471,,,3.6,12.0,
en:blackberry-jellies,1033.0,0.5,0.0,59.0,0.006500000000000001,0.002559055118110235,,50.0,0.75,0.6,50.0
en:fresh-sprouts,88.0,0.52,0.15000000000000002,1.6,0.024,0.0094488188976378,,,1.8,3.0,
fr:purees-surgelees,205.0,2.1,1.3,2.1,0.49000000000000105,0.192913385826772,,87.0,3.2,1.7,87.0
en:frozen-sliced-zucchini,84.0,0.3,0.1,1.9,0.01,0.00393700787401575,50.0,50.0,1.1,1.7,50.0
en:blends-of-honey-and-propolis,1347.0,0.0,0.0,79.0,0.01,0.00393700787401575,,,0.0,0.3,
fr:charcuteries-de-boeuf,761.0,3.55,1.5,0.6,4.0,1.5748031496063,,,0.0,33.0,
en:red-quinoa,1509.0,5.9,0.7,3.1,0.09809999999999999,0.0386220472440945,0.0,0.0,7.0,13.25,0.0
en:bay-laurel,0.0,8.0,4.0,4.0,1.0,0.393700787401575,,,16.0,7.55,
fr:plantaardige-levensmiddelen,1579.0,2.1,0.4,2.9000000000000004,0.305,0.12007874015748049,,,3.9,8.75,
fr:desserts-lactes-natures,360.0,3.8,2.5,3.8,0.127,0.05,,,0.1,7.0,
en:chards,46.0,0.2,0.015,0.7250000000000001,0.5,0.19685039370078697,,,1.6,1.8399999999999999,
fr:tortellinis-frais,1070.0,4.3,1.7,2.0999999999999996,0.96,0.377952755905512,9.0,9.0,2.95,9.0,9.0
fr:beignets-de-crevettes,941.0,7.6,0.75,4.7,1.7,0.669291338582677,,,0.8,7.7,
en:salmon-taramasalata,2166.0,52.05,4.1,0.6,1.4,0.551181102362205,,,0.75,7.0,
fr:sauces-algeriennes,2055.0,49.4,3.4,12.3,1.9,0.748031496062992,,,0.95,1.5,
en:fish-gratin,481.0,6.0,3.1,1.6,0.7,0.275590551181102,22.35,14.7,1.105,6.5,14.7
fr:tartes-tatin,958.0,8.15,5.4,22.4,0.17,0.0669291338582677,71.2,58.35,1.8,1.8,61.7
en:ground-dried-oregano,0.0,0.0,0.0,0.0,0.0,0.0,,,21.4,0.0,
en:raspberry-pies,1017.0,8.4,4.6,22.0,0.28,0.110236220472441,,38.0,3.15,3.6,38.0
fr:ungezuckerte-getranke,142.0,0.5,0.1,4.7,0.06,0.0236220472440945,,,0.5,0.5,
fr:omelettes-norvegiennes,882.0,5.75,3.95,31.45,0.17,0.0669291338582677,,4.0,0.3,3.65,4.0
en:sucralose,1458.0,0.0,0.0,6.7,0.08,0.031496062992126,,,0.0,0.0,
en:hazelnut-butters,2770.0,62.0,4.5,4.3,0.025,0.00984251968503937,,100.0,9.3,15.7,100.0
de:melanges-de-flocons-de-cereales,1761.0,15.0,4.3,14.0,0.25,0.0984251968503937,,20.0,8.0,10.8,20.0
ro:biscuiți,1887.0,16.0,5.25,28.5,0.5,0.19685039370078697,,,3.0,7.0,
en:vegetarian-tofu-pates,893.0,17.0,3.175,0.475,1.2953999999999999,0.51,,,2.6,6.9,
de:aliments-pour-bebe,280.0,0.4,0.0,8.8,0.05,0.0196850393700787,,,5.45,1.0,
en:smetana,670.0,15.0,21.7,2.9,0.1,0.0393700787401575,,,0.0,2.6,
ro:mezeluri,793.0,14.0,5.67,0.5,3.0,1.1811023622047199,,,0.0,21.0,
es:huiles-d-olive-vierges-extra,3761.0,100.0,14.0,0.0,0.0,0.0,,,0.0,0.0,
en:blueberry-muffins,1562.0,18.0,1.8,29.4,0.7029,0.276732283464567,,15.0,1.75,4.5,15.0
en:mince-pies,1666.0,15.4,6.25,31.15,0.2449999999999995,0.09645669291338574,,13.0,3.2,3.95,13.0
en:produits-de-la-mer,652.5,7.85,1.4,0.75,1.05,0.4133858267716535,,,0.4,17.0,
en:legumineuses-et-derives,2532.0,48.5,7.9,5.3,1.08,0.424,,95.0,7.3,25.7,95.0
en:sauces-pimentees,259.5,0.7,0.1,3.4,3.525,1.38803149606299,,,0.6,0.7,
fr:vins-petillant,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,
en:drinking-water,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,
en:gateaux,1533.5,11.95,4.85,34.3,0.42500000000000054,0.1673228346456695,,4.7,1.2,4.55,4.7
en:boissons-gazeuses,93.0,0.0,0.0,5.3,0.005,0.001968503937007875,,,0.0,0.0,
es:consome,23.6,0.44,0.32,0.2,1.23,0.484,,,0.0,0.2,
en:worcestershire-sauces,420.5,0.4,0.1,19.0,2.8,1.10236220472441,0.0,0.0,0.0,0.8,0.0
fr:pizzas-aux-legumes,833.0,6.0,2.4,3.2,1.0,0.393700787401575,,30.0,2.1,7.7,30.0
en:breaded-cheeses,1254.0,17.5,9.5,2.55,1.3,0.5118110236220471,,,0.7,14.0,
fr:pizzas-au-poulet,838.0,5.635,2.5,3.9,1.1749999999999998,0.463220472440945,,26.0,2.215,10.3,26.0
en:lasagne-with-goat-cheese-and-spinach,629.0,7.5,3.9,1.9,0.75,0.295275590551181,10.0,10.0,1.6,6.9,10.0
en:salad,1075.0,26.0,2.6,3.33,1.9,0.748031496062992,0.0,2.75,0.49,0.6,0.75
en:duck-fat,3699.0,99.95,33.0,0.0,0.002499999999999995,0.000984251968503935,,,0.5,0.0,
en:tea-based-beverages,89.7,0.0,0.0,4.85,0.003,0.0011811023622047198,,,0.25,0.055,
en:blackberries,0.0,0.5,0.05,9.35,0.0181,0.0071400000000000005,,,4.29,0.9,
fr:saucisses-blanches,1175.5,24.9,9.75,0.95,1.966,0.774015748031496,,,0.25,12.05,
fr:cuisses-de-poulet,828.0,12.5,3.5,0.5,0.21,0.0826771653543307,,,0.25,18.0,
fr:andouillettes-de-troyes,992.0,18.0,8.65,0.5,1.85,0.7283464566929135,,,0.0,18.0,
en:barres,1916.0,19.6,5.4,28.6,0.23,0.0905511811023622,,100.0,6.4,8.05,100.0
en:miso-soup,474.5,2.0,0.2,2.87,1.2,0.47244094488189003,,,1.79,6.300000000000001,
fr:chocolats-noirs-au-quinoa,2244.5,35.5,22.0,37.0,0.00881,0.003468503937007875,,,8.9,7.9,
fr:bebidas-de-origen-vegetal,222.5,1.4,0.2,5.25,0.08,0.031496062992126,50.0,50.0,0.65,0.7,50.0
fr:foies-gras-crus,2343.5,59.0,26.0,1.7,0.1,0.0393700787401575,,,0.5,6.9,
en:frozen-mixed-mushrooms,96.9,0.4,0.1,1.1,0.03,0.0118110236220472,,,1.9,1.8,
en:ground-dried-basil,0.0,,,,,,,,,,
en:biscuits-au-chocolat,2008.0,21.0,12.0,37.0,0.505,0.19881889763779503,,,3.0,5.8,
en:orange-sorbets,505.0,0.15000000000000002,0.0,25.55,0.03,0.0118110236220472,,50.0,0.4,0.55,50.0
fr:vin-de-savoie,0.0,,,,,,,,,,
fr:filets-de-colin-d-alaska,319.0,0.8,0.2,0.0,0.31,0.122047244094488,,,0.0,16.9,
fr:crevettes-surgelees,355.5,0.7,0.25,0.25,1.15,0.45275590551181105,0.0,0.0,0.4,18.75,0.0
de:alkoholisch,0.0,,,,,,,,,,
de:shelled-peanuts,2435.0,46.4,6.4,5.6,1.3,0.5118110236220471,,,9.1,25.0,
de:aufschnitt,1094.0,23.0,9.1,0.9,2.25,0.885826771653543,,,,19.5,
de:charcuteries,1078.0,20.5,8.5,0.7,2.215,0.8720472440944885,,,0.0,15.5,
fr:petits-pains-grilles-au-froment,1718.5,7.9,1.0,7.6,1.1,0.433070866141732,,,3.7,9.8,
de:fruits-a-coques-et-derives,2466.5,45.95,9.35,6.8,0.0299999999999999,0.0118110236220472,,82.5,7.699999999999999,18.9,82.5
fr:organic-eggs,607.0,10.3,3.0,0.5,0.32,0.125984251968504,,,0.0,12.6,
fr:chocolats-noirs-au-piment,2360.0,42.0,25.8,26.39,0.04499999999999995,0.01771653543307085,,,0.0,8.25,
en:frozen-blueberries,194.5,0.3,0.1,7.9,0.01,0.00393700787401575,100.0,100.0,3.3,0.6,100.0
en:gelatin,245.5,0.1,0.0,0.05,0.13,0.0511811023622047,,,0.0,5.0,
fr:panna-cottas-aux-fruits-rouges,674.0,8.9,5.9,16.0,0.11,0.04330708661417325,,4.5,0.0,2.3,4.5
fr:pains-au-lait-aux-pepites-de-chocolat,1500.0,12.3,3.8499999999999996,17.15,1.0,0.393700787401575,,,2.0,8.45,
es:pistos-en-conserva,326.5,3.9000000000000004,0.5,7.4,1.0,0.393700787401575,,,1.0,1.3,
fr:cacahuetes-enrobees,2141.0,31.5,6.05,7.95,2.4846,0.9781889763779525,43.0,43.0,3.9,13.7,43.0
en:nougat-ice-cream-tubs,998.0,12.0,6.0,25.0,0.10500000000000001,0.04133858267716535,,12.5,1.0,4.25,12.5
en:granizados,313.0,0.1,0.0,16.0,0.0508,0.02,,,0.0,0.5,
es:boissons-non-sucrees,174.0,0.85,0.15000000000000002,3.85,0.0781,0.030748031496063,,12.0,0.1,0.3,12.0
fr:desserts-lactes-au-caramel,636.0,7.15,4.9,17.049999999999997,0.2,0.078740157480315,,,0.2,3.15,
en:dried-nori-seaweeds,1162.5,0.28,0.0305,0.0,1.5,0.590551181102362,,,31.0,37.0,
en:orange-syrups,1183.5,0.1,0.0,67.0,0.015,0.005905511811023625,,,0.0,0.1,
es:garbanzos-con-verduras-en-conserva,375.0,2.2,0.4,0.8,0.751332,0.2958,,,2.65,4.300000000000001,
en:sauces-for-fishes,853.5,18.09,10.95,1.85,1.2,0.47244094488189003,0.0,0.0,1.3,1.0,0.0
fr:sauces-au-beurre-blanc,853.5,18.09,10.95,1.85,1.2,0.47244094488189003,0.0,0.0,1.3,1.0,0.0
en:canned-tartiflettes,389.0,4.25,2.1,0.8,0.63,0.248031496062992,56.0,56.0,1.55,3.3,56.0
fr:jus-de-betterave,136.0,0.1,0.016,6.8,0.25,0.0984251968503937,,99.5,0.1,0.9,99.5
es:substituts-de-viande,730.0,8.6,1.25,2.5,1.6,0.62992125984252,,52.25,7.699999999999999,16.75,52.25
en:chocolate-pies,1711.5,22.5,11.0,26.0,0.325,0.127952755905512,,5.0,2.8,5.55,5.0
en:cereal-starches,1485.0,0.5,0.1,0.35,0.01,0.00393700787401575,,,1.0,0.5,
en:corn-starch,1485.0,0.5,0.1,0.35,0.01,0.00393700787401575,,,1.0,0.5,
fr:viandes-marinees,683.0,8.25,2.1500000000000004,1.0499999999999998,1.35,0.531496062992126,,,0.1,19.95,
en:butternut-squashes,0.0,1.7,1.2,2.1,0.7,0.275590551181102,,,,0.6,
fr:piments-de-cayenne,0.0,1.0,0.5,0.0,0.005,0.001968503937007875,,,20.4,1.0,
en:roasted-pumpkin-seeds,2304.5,45.849999999999994,6.4,1.5,5.4,2.1259842519685,,,7.4,26.8,
en:ras-el-hanout,0.0,0.0,0.0,0.0,0.8,0.31496062992125956,,,,0.0,
es:farfalle-de-trigo-duro,1504.0,1.65,0.3,3.025,0.025,0.009842519685039349,,,3.6,12.0,
en:french-gruyeres,1673.5,33.0,21.0,0.335,0.9,0.3543307086614171,,,0.0,27.0,
en:frozen-poultry,694.5,10.0,2.95,0.1,0.7849999999999999,0.309055118110236,,,0.3,18.9,
en:caramel-pork,582.0,3.6,0.95,5.95,0.9095,0.3580708661417325,,,0.9,7.0,
en:wines-from-australia,0.0,,,,,,,,,,
nl:boissons,50.5,0.34,0.0,1.3,0.0,0.0,0.0,0.0,0.5,0.23,0.0
fr:mousses,1320.0,24.0,11.2,14.85,0.32,0.125984251968504,2.95,5.0,1.4,7.85,5.0
en:tabbouleh-with-tomatoes,519.0,2.95,0.4,2.4,0.905,0.356299212598425,74.0,35.0,2.0,3.85,54.5
fr:veloutes-de-legumes-du-soleil,165.0,1.75,0.25,2.6,0.615,0.24212598425196852,60.0,60.0,1.2,1.0,60.0
fr:nonnettes-a-la-framboise,1425.5,1.9,0.6,46.9,0.44,0.173228346456693,,9.1,0.0,3.7,9.1
fr:gaufres-fourrees-a-la-vanille,1780.0,16.0,5.9,36.0,0.4,0.15748031496063,,,0.0,4.9,
fr:quartiers-de-pommes-de-terre-surgeles,611.0,5.5,0.6,0.5,0.6,0.23622047244094502,,0.0,3.0,2.5,0.0
en:frogs,289.0,0.28500000000000003,0.085,0.0,0.15,0.0590551181102362,,,7.6,16.1,
fr:cremes-dessert-cafe,507.0,5.75,3.75,14.850000000000001,0.14500000000000002,0.05708661417322835,,,0.3,2.975,
fr:croquettes-de-pommes-de-terre-surgelees,706.5,6.05,0.8,1.0,0.9,0.3543307086614171,,,2.53,2.75,
fr:vermicelles-en-chocolat,1877.0,15.0,9.0,66.05,0.12,0.047244094488189003,,,3.6,4.6,
fr:boulettes-de-viande,882.5,15.0,6.0,0.45,1.35,0.531496062992126,4.8,4.8,1.0,14.0,4.8
en:charlotte-potatoes,0.0,0.22,0.028,0.44999999999999996,0.001875,0.000738188976377955,,,1.9,1.9,
fr:levures-chimiques,366.0,0.1505,0.0,0.0,18.6,7.322834645669291,,,0.0,0.2505,
fr:biscuits-aux-fruits,1788.5,15.25,7.355,32.45,0.4650000000000005,0.1830708661417325,4.7,11.85,4.0,5.615,4.7
en:mixed-yogurts,391.0,2.45,1.65,14.0,0.1143,0.045,5.0,5.0,0.05,3.9000000000000004,5.0
en:red-fruit-teas,8.5,0.0,0.0,0.5,0.0,0.0,,,0.0,0.5,
fr:compotes-de-rhubarbe,431.0,0.15000000000000002,0.05,22.2,0.01,0.00393700787401575,82.5,84.0,2.2,0.55,84.0
en:semi-polished-wheat-flours,692.5,1.2,0.2,1.75,0.009000000000000001,0.003543307086614175,,,4.699999999999999,11.15,
fr:ovo-produits,211.0,0.495,0.0505,1.1,0.3,0.118110236220472,,,0.0,10.605,
fr:cabernet-d-anjou,0.0,,,,,,,,,,
fr:poelees-a-la-paysanne,554.5,5.75,1.5,1.6,0.685,0.2696850393700785,82.1,82.1,2.3,3.3499999999999996,82.1
fr:concentres,200.5,0.0,0.0,3.9000000000000004,0.04,0.01574803149606295,50.0,16.1,0.0,0.5,33.05
en:smoked-bacon-lardons,531.0,4.8,1.85,0.6,2.4,0.9448818897637794,,,0.5,19.0,
en:refrigerated-falafel,1011.0,12.0,1.3,2.6,1.3,0.5118110236220471,0.0,25.0,8.7,8.649999999999999,12.5
en:gummy-crocodiles,1443.0,0.5,0.1,51.0,0.1,0.039370078740157445,,,0.0,5.7,
fr:nonnettes-a-l-orange,1416.0,2.15,0.35,44.95,0.399,0.1570866141732285,,5.0,1.4,3.6,5.0
en:flower-jams,989.5,0.0003,0.0,59.0,0.0060828,0.0023948031496063,,0.6,1.055,0.012,0.6
en:cloves,0.0,4.675,2.975,1.79,0.13849999999999998,0.05452755905511799,,,,5.14,
en:anticaking-agents,0.0,0.0,0.0,0.0,1.5,0.5905511811023599,0.0,0.0,0.0,0.0,0.0
en:bicarbonates-of-soda,0.0,0.0,0.0,0.0,1.5,0.5905511811023599,0.0,0.0,0.0,0.0,0.0
fr:produits-dietetiques,427.5,2.5,0.6000000000000001,9.25,0.45499999999999996,0.1791338582677165,,,2.7,6.65,
en:agar-agar,306.40000000000003,0.0,0.0,0.0,0.08,0.031496062992126,,,75.0,0.55,
fr:aspics,353.5,3.8499999999999996,1.1,0.25,1.47,0.578740157480315,,21.0,0.0,10.3,21.0
fr:cremant-d-alsace,0.0,2.36,0.55,0.65,0.0,0.0,,,,0.1,
fr:fromages-blancs-au-lait-de-chevre,410.0,6.7,4.5,3.6,0.08,0.031496062992126,,9.05,0.0,6.0,9.05
fr:crottins-de-chavignol,1335.0,26.0,19.0,1.3,1.7,0.669291338582677,,,0.0,20.0,
fr:vins-de-pays,0.0,,,,,,,,,,
en:steviol-glycosides,47.5,0.0,0.0,1.45,0.08,0.031496062992126,,,0.0,0.0,
en:honey-stuffed-waffles,1874.5,17.4,9.3,39.25,0.785,0.3090551181102365,,,1.5,4.5,
fr:yaourts-aux-fruits-sans-morceaux,381.5,1.95,1.25,13.6,0.1143,0.045,5.5,5.0,0.0,4.2,5.0
fr:purees-de-patates-douces,338.5,1.85,0.86,5.905,0.515,0.202755905511811,,,2.75,1.2,
en:frozen-leeks,111.5,0.5,0.1,2.2,0.025,0.00984251968503937,100.0,100.0,2.2,1.6,100.0
fr:nectars-de-fraise,198.0,0.1,0.0,10.9,0.025,0.00984251968503937,40.0,40.0,0.5,0.45,40.0
fr:charcuterie-de-volaille,451.0,1.75,0.4,0.8,1.6,0.62992125984252,,,0.5,22.5,
fr:yaourts-a-la-mirabelle,418.5,3.05,1.915,12.75,0.1105,0.043503937007874,,8.0,0.23,3.505,8.0
fr:linguine,1494.0,1.7,0.5,3.0,0.013000000000000001,0.005118110236220471,,,3.0,12.8,
en:powdered-plant-milks,1790.5,12.9,1.4500000000000002,15.6,0.12994899999999998,0.051161023622047254,,,5.2,13.5,
en:whole-oyster-mushrooms,0.0,,,,,,,,1.5,4.8,
de:flocons,1736.0,13.0,3.4,12.95,0.2,0.078740157480315,,20.0,8.0,10.9,20.0
de:flocons-de-cereales,1759.0,14.0,4.35,13.5,0.225,0.08858267716535435,,20.0,8.0,10.4,20.0
en:pickled-eggplants,122.0,0.5,0.2,0.65,1.4,0.5511811023622046,,,1.2,1.0,
fr:biscuits-pur-beurre,2096.0,24.0,14.3,27.0,0.63,0.248031496062992,,,1.5,6.0,
en:cabbages,0.0,0.95,0.15000000000000002,2.0,0.0,0.0,,,3.0999999999999996,3.0,
fr:bieres-noires,0.0,0.0,0.0,0.7,0.0,0.0,,,0.0,0.8,
en:beurres-de-fruits-a-coques,2544.0,48.5,7.9,5.7,0.825,0.3248031496062995,,95.0,7.3,25.0,95.0
en:purees-d-oleagineux,2544.0,48.5,7.9,5.7,0.825,0.3248031496062995,,95.0,7.3,25.0,95.0
en:sweet-potato-crisps,2178.0,35.1,3.6,23.0,1.27,0.5,,,9.0,3.7,
fr:beurres-de-cacahuetes-cremeux,2548.0,49.2,8.2,5.9,0.04,0.015748031496063,,100.0,6.8,28.0,100.0
